"URL da imagem";Nome;Preço;Categorias;"Descrição curta";"Descrição longa"
https://ngproc.com.br/wp-content/uploads/2020/11/a31.jpg;"Smartphone Galaxy A31 Violeta 64GB, 4GB RAM, Tela Infinita de 6.4"", Câmera Traseira Tripla, Leitor Digital na Tela, Android 9.0 e TV Digital";359;Eletrônicos;;
https://ngproc.com.br/wp-content/uploads/2020/11/a51.jpg;"Smartphone Galaxy A51 Android Tela 6,5"" Super Amoled Octa-Core 2.3 128GB 4G Câmera 48MP+12MP+5Mp - Branco";359;Eletrônicos;;
https://ngproc.com.br/wp-content/uploads/2020/11/a71-1.jpg;"Smartphone Galaxy A71 Dual SIM 128 GB cinza 6 GB RAM";359;Eletrônicos;;
https://ngproc.com.br/wp-content/uploads/2020/11/ipad.jpg;"Tablet Apple iPad Apple 8ª Generação 2020 A2270 10.2"" 32GB gold com memória RAM 3GB";359;Eletrônicos;;
https://ngproc.com.br/wp-content/uploads/2020/11/tablet-multilaser.jpg;"Tablet Multilaser NB314 Mickey Mouse Plus Wi-fi 7 Pol. 16gb Quad Core - Preto";359;Eletrônicos;;
https://ngproc.com.br/wp-content/uploads/2020/11/tablet-samsung.jpg;"Tablet Samsung Galaxy Tab S7 com Caneta 11” 4G / Wi-Fi 256GB Android Octa-Core Câm. Dupla + Selfie";359;Eletrônicos;;
https://ngproc.com.br/wp-content/uploads/2020/11/everlast.jpg;"Tênis Everlast Bunker Marinho/Branco";359;"Roupas Calçados e Jóias";;
https://ngproc.com.br/wp-content/uploads/2020/11/retrorun.jpg;"Tenis Retrorun Adidas Feminino";359;"Roupas Calçados e Jóias";;
https://ngproc.com.br/wp-content/uploads/2020/11/lg-32.jpg;"TV LG 32"" Hd Lg 32lt330hbsb 2 Hdmi 1 Usb Pro Conversor Digital - Bivolt";359;Eletrodoméstico;;
https://ngproc.com.br/wp-content/uploads/2020/11/philco-22.jpg;"TV Philco 22"" Led Resolução Hd E Recepção Digital - Ptv22g50d";359;Eletrodoméstico;;
https://ngproc.com.br/wp-content/uploads/2020/11/32-samsung.jpg;"TV Samsung 32"" 32T4300 HD WIFI HDR para Brilho e Contraste Plataforma Tizen 2 HDMI 1 USB - Preto";359;Eletrodoméstico;;
https://ngproc.com.br/wp-content/uploads/2020/11/samsung-43.jpg;"TV Samsung 43'' Crystal UHD 43TU7000 4K 2020 Wi-fi Borda Infinita Controle Remoto Único Bluetooth e Processador Crystal 4K";359;Eletrodoméstico;;
https://ngproc.com.br/wp-content/uploads/2020/11/xbox.jpg;"Xbox Series S 500gb SSD";359;Games;;
